,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,IsArrDelayed,IsDepDelayed
7285,1990,1,17,3,1027.0,1020,1126.0,1118,US,47,,59.0,58.0,,8.0,7.0,PHL,ALB,212.0,,,0,,0,,,,,,YES,YES
40314,2007,1,2,2,853.0,855,936.0,950,WN,1937,N679,43.0,55.0,34.0,-14.0,-2.0,AUS,DAL,189.0,2.0,7.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
14676,1994,1,27,4,700.0,700,833.0,834,US,244,,93.0,94.0,,-1.0,0.0,MLB,CLT,490.0,,,0,,0,,,,,,NO,NO
30456,2002,1,11,5,2024.0,2032,2130.0,2131,US,750,N524Aä,66.0,59.0,40.0,-1.0,-8.0,DCA,PIT,205.0,9.0,17.0,0,,0,,,,,,NO,NO
34286,2004,1,10,6,1648.0,1610,2006.0,1943,UA,470,N504UA,138.0,153.0,118.0,23.0,38.0,ORD,MCO,1005.0,4.0,16.0,0,,0,22.0,0.0,0.0,0.0,1.0,YES,YES
24699,1999,1,2,6,943.0,925,1242.0,1231,US,2296,N449US,239.0,246.0,217.0,11.0,18.0,SJU,PHL,1576.0,9.0,13.0,0,,0,,,,,,YES,YES
16707,1995,1,26,4,1744.0,1725,1844.0,1829,US,1046,N423US,60.0,64.0,42.0,15.0,19.0,PIT,PHL,267.0,4.0,14.0,0,,0,,,,,,YES,YES
42694,2008,1,3,4,2114.0,2025,2246.0,2155,WN,172,N780SW,152.0,150.0,128.0,51.0,49.0,MDW,DEN,895.0,7.0,17.0,0,,0,22.0,0.0,2.0,0.0,27.0,YES,YES
35331,2004,1,19,1,736.0,741,1031.0,1045,UA,494,N443UA,115.0,124.0,97.0,-14.0,-5.0,ORD,MHT,843.0,4.0,14.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
3508,1988,1,2,6,625.0,625,716.0,717,PS,1447,,51.0,52.0,,-1.0,0.0,LAS,BUR,223.0,,,0,,0,,,,,,NO,NO
2749,1988,1,2,6,823.0,825,925.0,927,PI,962,,62.0,62.0,,-2.0,-2.0,GSO,BWI,278.0,,,0,,0,,,,,,NO,NO
32479,2003,1,19,7,1701.0,1705,1828.0,1850,UA,1048,N815UA,207.0,225.0,190.0,-22.0,-4.0,DFW,SFO,1464.0,7.0,10.0,0,,0,,,,,,NO,NO
9242,1991,1,18,5,1954.0,1955,2216.0,2233,US,136,,142.0,158.0,,-17.0,-1.0,BWI,PBI,883.0,,,0,,0,,,,,,NO,NO
38803,2006,1,11,3,1345.0,1350,1515.0,1518,US,721,N649AW,90.0,88.0,72.0,-3.0,-5.0,OAK,LAS,407.0,7.0,11.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
5218,1989,1,12,4,1029.0,1030,1149.0,1143,UA,219,,140.0,133.0,,6.0,-1.0,EWR,ORD,719.0,,,0,,0,,,,,,YES,NO
12873,1993,1,16,6,,830,,952,US,88,,,82.0,,,,PIT,BDL,406.0,,,1,,0,,,,,,YES,YES
705,1987,10,5,1,1128.0,1129,1227.0,1225,PS,1490,,59.0,56.0,,2.0,-1.0,SNA,LAS,226.0,,,0,,0,,,,,,YES,NO
17227,1995,1,16,1,1712.0,1710,1801.0,1807,US,758,N244US,49.0,57.0,38.0,-6.0,2.0,RIC,PHL,198.0,3.0,8.0,0,,0,,,,,,NO,YES
38974,2006,1,11,3,2303.0,1930,12.0,2041,US,128,N527AU,69.0,71.0,45.0,211.0,213.0,PHL,PIT,267.0,3.0,21.0,0,,0,0.0,0.0,12.0,0.0,199.0,YES,YES
4717,1989,1,20,5,1807.0,1800,2022.0,2035,UA,203,,255.0,275.0,,-13.0,7.0,ORD,SFO,1846.0,,,0,,0,,,,,,NO,YES
20290,1997,1,22,3,2134.0,2135,2349.0,2341,DL,755,N644DL,255.0,246.0,223.0,8.0,-1.0,ATL,PHX,1587.0,3.0,29.0,0,,0,,,,,,YES,NO
12754,1993,1,16,6,1327.0,1325,2053.0,2045,US,86,,266.0,260.0,,8.0,2.0,SAN,PIT,2106.0,,,0,,0,,,,,,YES,YES
7456,1990,1,10,3,705.0,705,838.0,848,US,53,,93.0,103.0,,-10.0,0.0,DCA,IND,499.0,,,0,,0,,,,,,NO,NO
19971,1996,1,7,7,1708.0,0,1829.0,0,AA,1733,N419AA,141.0,151.0,123.0,-10.0,0.0,DFW,PHX,868.0,6.0,12.0,0,,0,,,,,,NO,NO
28065,2001,1,3,3,1432.0,1425,1606.0,1551,US,378,N859äâ,94.0,86.0,69.0,15.0,7.0,CLE,CLT,430.0,4.0,21.0,0,,0,,,,,,YES,YES
10730,1992,1,7,2,1314.0,1315,1547.0,1541,US,66,,93.0,86.0,,6.0,-1.0,STL,PIT,553.0,,,0,,0,,,,,,YES,NO
25640,1999,1,25,1,1420.0,1420,1525.0,1530,WN,552,N390,65.0,70.0,56.0,-5.0,0.0,ABQ,PHX,328.0,4.0,5.0,0,,0,,,,,,NO,NO
3430,1988,1,19,2,849.0,850,956.0,955,PS,1443,,67.0,65.0,,1.0,-1.0,BUR,SJC,296.0,,,0,,0,,,,,,YES,NO
36650,2005,1,14,5,2107.0,1955,2342.0,2223,UA,565,N350UA,215.0,208.0,202.0,79.0,72.0,ORD,SLC,1249.0,3.0,10.0,0,,0,46.0,0.0,7.0,0.0,26.0,YES,YES
24186,1999,1,11,1,1406.0,1405,1700.0,1641,US,1030,N776AU,174.0,156.0,146.0,19.0,1.0,RSW,PHL,992.0,16.0,12.0,0,,0,,,,,,YES,YES
16251,1995,1,23,1,651.0,650,740.0,749,US,243,N881US,49.0,59.0,40.0,-9.0,1.0,ORF,PHL,211.0,3.0,6.0,0,,0,,,,,,NO,YES
21192,1997,1,9,4,1345.0,1325,1600.0,1545,HP,2261,N509DC,255.0,260.0,235.0,15.0,20.0,CMH,PHX,1671.0,2.0,18.0,0,,0,,,,,,YES,YES
10024,1992,1,1,3,942.0,945,1104.0,1123,US,53,,262.0,278.0,,-19.0,-3.0,IND,LAX,1814.0,,,0,,0,,,,,,NO,NO
43147,2008,1,3,4,1203.0,1205,1402.0,1415,WN,217,N740SW,59.0,70.0,47.0,-13.0,-2.0,ONT,PHX,325.0,4.0,8.0,0,,0,,,,,,NO,NO
14400,1994,1,26,3,1609.0,1600,1840.0,1809,US,239,,151.0,129.0,,31.0,9.0,PIT,MCO,834.0,,,0,,0,,,,,,YES,YES
23814,1998,1,24,6,1109.0,0,1237.0,0,AA,419,N503AA,148.0,163.0,123.0,6.0,21.0,DFW,PHX,868.0,5.0,20.0,0,,0,,,,,,YES,YES
30706,2002,1,23,3,1427.0,1430,1604.0,1606,US,755,N585äâ,97.0,96.0,82.0,-2.0,-3.0,DTW,CLT,500.0,4.0,11.0,0,,0,,,,,,NO,NO
12573,1993,1,6,3,800.0,800,1106.0,1116,US,80,,126.0,136.0,,-10.0,0.0,MSY,DCA,969.0,,,0,,0,,,,,,NO,NO
31720,2002,1,19,6,1753.0,1715,1846.0,1754,US,797,N526Aä,113.0,99.0,88.0,52.0,38.0,CLT,PNS,488.0,4.0,21.0,0,,0,,,,,,YES,YES
17747,1995,1,18,3,1212.0,1210,1434.0,1436,US,2199,N266AU,142.0,146.0,130.0,-2.0,2.0,SRQ,PHL,956.0,4.0,8.0,0,,0,,,,,,NO,YES
36997,2005,1,2,7,1627.0,1602,1624.0,1614,UA,577,N805UA,57.0,72.0,38.0,10.0,25.0,IND,ORD,177.0,10.0,9.0,0,,0,0.0,0.0,0.0,0.0,0.0,YES,YES
13512,1993,1,6,3,1114.0,1115,1205.0,1212,US,102,,51.0,57.0,,-7.0,-1.0,PIT,ABE,253.0,,,0,,0,,,,,,NO,NO
25977,1999,1,22,5,1612.0,1550,1805.0,1753,DL,411,N614DL,233.0,243.0,219.0,12.0,22.0,ATL,PHX,1587.0,4.0,10.0,0,,0,,,,,,YES,YES
10501,1992,1,2,4,2022.0,2020,2143.0,2149,US,62,,81.0,89.0,,-6.0,2.0,CLT,PHL,448.0,,,0,,0,,,,,,NO,YES
24029,1999,1,7,4,615.0,605,729.0,715,US,1035,N441US,74.0,70.0,52.0,14.0,10.0,ROC,PHL,257.0,9.0,13.0,0,,0,,,,,,YES,YES
27389,2000,1,26,3,900.0,903,1052.0,1054,HP,2621,N158AW,112.0,111.0,96.0,-2.0,-3.0,COS,PHX,551.0,4.0,12.0,0,,0,,,,,,NO,NO
30666,2002,1,14,1,1705.0,1705,1827.0,1823,US,755,N517Aä,82.0,78.0,54.0,4.0,0.0,CLT,ATL,227.0,12.0,16.0,0,,0,,,,,,YES,NO
12122,1993,1,17,7,1728.0,1729,1826.0,1833,US,70,,58.0,64.0,,-7.0,-1.0,LGA,SYR,198.0,,,0,,0,,,,,,NO,NO
19393,1996,1,28,7,1840.0,1840,2027.0,2025,HP,1249,N303AW,107.0,105.0,92.0,2.0,0.0,DEN,PHX,602.0,3.0,12.0,0,,0,,,,,,YES,NO
13193,1993,1,10,7,1620.0,1540,1750.0,1719,US,95,,90.0,99.0,,31.0,40.0,PVD,PIT,467.0,,,0,,0,,,,,,YES,YES
20292,1997,1,24,5,2137.0,2135,2349.0,2341,DL,755,N668DN,252.0,246.0,231.0,8.0,2.0,ATL,PHX,1587.0,5.0,16.0,0,,0,,,,,,YES,YES
20704,1997,1,8,3,715.0,700,1109.0,1033,HP,87,N907AW,354.0,333.0,329.0,36.0,15.0,BOS,PHX,2300.0,4.0,21.0,0,,0,,,,,,YES,YES
29772,2001,1,19,5,1526.0,1520,1742.0,1659,US,437,N828äâ,136.0,99.0,88.0,43.0,6.0,PHL,CLT,448.0,5.0,43.0,0,,0,,,,,,YES,YES
2169,1988,1,11,1,2030.0,2031,2141.0,2142,PI,945,,71.0,71.0,,-1.0,-1.0,SYR,DCA,298.0,,,0,,0,,,,,,NO,NO
3718,1988,1,11,1,1854.0,1850,2001.0,2000,PS,1463,,67.0,70.0,,1.0,4.0,BUR,OAK,325.0,,,0,,0,,,,,,YES,YES
30341,2002,1,18,5,1837.0,1840,1950.0,2000,US,743,N512Aä,73.0,80.0,56.0,-10.0,-3.0,RDU,PIT,328.0,6.0,11.0,0,,0,,,,,,NO,NO
1151,1987,10,22,4,1429.0,1430,1536.0,1533,PS,1510,,67.0,63.0,,3.0,-1.0,SFO,BUR,326.0,,,0,,0,,,,,,YES,NO
26438,2000,1,26,3,1510.0,1504,1848.0,1851,HP,823,N805AW,338.0,347.0,300.0,-3.0,6.0,BOS,PHX,2300.0,18.0,20.0,0,,0,,,,,,NO,YES
28112,2001,1,19,5,1740.0,1650,1846.0,1745,US,378,N885äâ,66.0,55.0,36.0,61.0,50.0,CLT,ILM,185.0,2.0,28.0,0,,0,,,,,,YES,YES
10575,1992,1,18,6,1058.0,1100,1237.0,1237,US,63,,99.0,97.0,,0.0,-2.0,LGA,CLE,418.0,,,0,,0,,,,,,NO,NO
22587,1998,1,16,5,745.0,745,1033.0,1050,HP,2640,N618AW,288.0,305.0,261.0,-17.0,0.0,BWI,PHX,1999.0,15.0,12.0,0,,0,,,,,,NO,NO
33321,2003,1,2,4,807.0,810,1034.0,1032,UA,1073,N428UA,267.0,262.0,244.0,2.0,-3.0,ORD,PDX,1739.0,4.0,19.0,0,,0,,,,,,YES,NO
20103,1997,1,20,1,915.0,915,1022.0,1025,WN,1737,N360,67.0,70.0,59.0,-3.0,0.0,ABQ,PHX,328.0,2.0,6.0,0,,0,,,,,,NO,NO
15051,1994,1,28,5,1604.0,1340,2005.0,1748,US,252,,181.0,188.0,,137.0,144.0,IAH,PHL,1324.0,,,0,,0,,,,,,YES,YES
7355,1990,1,31,3,1107.0,1110,1233.0,1243,US,49,,86.0,93.0,,-10.0,-3.0,LGA,CLE,418.0,,,0,,0,,,,,,NO,NO
7972,1990,1,10,3,1000.0,955,1223.0,1212,US,59,,143.0,137.0,,11.0,5.0,PIT,TPA,873.0,,,0,,0,,,,,,YES,YES
8210,1991,1,30,3,1634.0,1625,1723.0,1717,US,118,,49.0,52.0,,6.0,9.0,CLT,OAJ,191.0,,,0,,0,,,,,,YES,YES
10016,1992,1,24,5,640.0,640,853.0,853,US,53,,133.0,133.0,,0.0,0.0,EWR,IND,644.0,,,0,,0,,,,,,NO,NO
6460,1990,1,18,4,1226.0,1115,1759.0,1630,US,34,,213.0,195.0,,89.0,71.0,SFO,MCI,1499.0,,,0,,0,,,,,,YES,YES
1375,1987,10,5,1,635.0,630,732.0,722,PS,1521,,57.0,52.0,,10.0,5.0,LAS,LAX,236.0,,,0,,0,,,,,,YES,YES
36320,2005,1,13,4,2301.0,2300,434.0,442,UA,552,N836UA,213.0,222.0,192.0,-8.0,1.0,SAN,ORD,1723.0,7.0,14.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,YES
18469,1996,1,13,6,,1512,,1730,HP,460,N155AW,,78.0,,,,BUR,PHX,369.0,0.0,0.0,1,,0,,,,,,YES,YES
5428,1989,1,16,1,1203.0,1155,1328.0,1313,UA,224,,85.0,78.0,,15.0,8.0,OMA,ORD,416.0,,,0,,0,,,,,,YES,YES
290,1987,10,1,4,645.0,645,807.0,804,PS,1471,,82.0,79.0,,3.0,0.0,SAN,OAK,446.0,,,0,,0,,,,,,YES,NO
39029,2006,1,11,3,1605.0,1609,2254.0,2247,US,418,N658AW,289.0,278.0,268.0,7.0,-4.0,PHX,BDL,2213.0,7.0,14.0,0,,0,0.0,0.0,0.0,0.0,0.0,YES,NO
20708,1997,1,12,7,703.0,700,1100.0,1033,HP,87,N909AW,357.0,333.0,329.0,27.0,3.0,BOS,PHX,2300.0,3.0,25.0,0,,0,,,,,,YES,YES
29714,2001,1,23,2,,1245,,1412,US,437,äNKNOæ,,87.0,,,,BOS,PHL,280.0,0.0,0.0,1,,0,,,,,,YES,YES
24626,1999,1,22,5,1056.0,1055,1400.0,1344,AA,1020,N890AA,244.0,229.0,225.0,16.0,1.0,SJU,PHL,1576.0,6.0,13.0,0,,0,,,,,,YES,YES
9113,1991,1,25,5,1452.0,1450,1557.0,1554,US,133,,65.0,64.0,,3.0,2.0,BUF,EWR,282.0,,,0,,0,,,,,,YES,YES
31140,2002,1,25,5,1745.0,1750,1923.0,1914,US,770,N353äâ,98.0,84.0,69.0,9.0,-5.0,IND,CLT,428.0,20.0,9.0,0,,0,,,,,,YES,NO
15222,1994,1,30,7,1330.0,1315,1449.0,1435,US,256,,79.0,80.0,,14.0,15.0,CHS,DCA,444.0,,,0,,0,,,,,,YES,YES
41979,2008,1,3,4,2003.0,1955,2211.0,2225,WN,335,N712SW,128.0,150.0,116.0,-14.0,8.0,IAD,TPA,810.0,4.0,8.0,0,,0,,,,,,NO,YES
27815,2000,1,26,3,1009.0,1010,1203.0,1202,UA,2757,N929UA,114.0,112.0,94.0,1.0,-1.0,DEN,PHX,602.0,2.0,18.0,0,,0,,,,,,YES,NO
12731,1993,1,22,5,2202.0,2145,2257.0,2245,US,86,,55.0,60.0,,12.0,17.0,PIT,DCA,205.0,,,0,,0,,,,,,YES,YES
30810,2002,1,15,2,,1755,,1950,US,759,äNKNOæ,,115.0,,,,BOS,PIT,496.0,0.0,0.0,1,,0,,,,,,YES,YES
532,1987,10,13,2,1449.0,1450,1604.0,1603,PS,1481,,75.0,73.0,,1.0,-1.0,SNA,OAK,371.0,,,0,,0,,,,,,YES,NO
14088,1994,1,22,6,1312.0,1310,1545.0,1555,US,228,,93.0,105.0,,-10.0,2.0,ORD,CLT,599.0,,,0,,0,,,,,,NO,YES
29619,2001,1,16,2,2226.0,2230,2320.0,2325,US,434,N800äâ,54.0,55.0,38.0,-5.0,-4.0,PIT,BUF,186.0,3.0,13.0,0,,0,,,,,,NO,NO
22290,1998,1,14,3,706.0,710,943.0,931,HP,2404,N165AW,97.0,81.0,66.0,12.0,-4.0,BUR,PHX,369.0,8.0,23.0,0,,0,,,,,,YES,NO
41328,2007,1,2,2,1725.0,1705,2253.0,2235,WN,2519,N475,208.0,210.0,192.0,18.0,20.0,LAS,BNA,1588.0,3.0,13.0,0,,0,13.0,0.0,0.0,0.0,5.0,YES,YES
668,1987,10,29,4,816.0,815,935.0,932,PS,1489,,79.0,77.0,,3.0,1.0,SNA,OAK,371.0,,,0,,0,,,,,,YES,YES
11081,1992,1,20,1,1652.0,1645,1754.0,1745,US,76,,62.0,60.0,,9.0,7.0,PIT,ABE,253.0,,,0,,0,,,,,,YES,YES
39223,2006,1,11,3,847.0,845,1036.0,1102,US,1,N110UW,289.0,317.0,275.0,-26.0,2.0,PIT,LAX,2136.0,5.0,9.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,YES
24150,1999,1,6,3,634.0,635,902.0,911,US,1028,N407US,148.0,156.0,124.0,-9.0,-1.0,RSW,PHL,992.0,7.0,17.0,0,,0,,,,,,NO,NO
36170,2005,1,27,4,1310.0,1310,1854.0,1904,UA,546,N427UA,224.0,234.0,199.0,-10.0,0.0,SAN,ORD,1723.0,13.0,12.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
12471,1993,1,18,1,702.0,700,818.0,805,US,77,,76.0,65.0,,13.0,2.0,PIT,DTW,201.0,,,0,,0,,,,,,YES,YES
7824,1990,1,5,5,2153.0,2155,2302.0,2309,US,58,,69.0,74.0,,-7.0,-2.0,PIT,EWR,319.0,,,0,,0,,,,,,NO,NO
4447,1989,1,17,2,1140.0,1140,1504.0,1521,UA,193,,324.0,341.0,,-17.0,0.0,LAX,HNL,2556.0,,,0,,0,,,,,,NO,NO
7041,1990,1,12,5,1626.0,1535,1734.0,1635,US,44,,68.0,60.0,,59.0,51.0,ABE,PIT,253.0,,,0,,0,,,,,,YES,YES
10357,1992,1,12,7,856.0,855,1142.0,1142,US,59,,166.0,167.0,,0.0,1.0,PIT,FLL,994.0,,,0,,0,,,,,,NO,YES
15773,1994,1,13,4,924.0,920,1054.0,1103,US,273,,90.0,103.0,,-9.0,4.0,LGA,CMH,478.0,,,0,,0,,,,,,NO,YES
42574,2008,1,3,4,715.0,715,809.0,810,WN,1149,N614SW,54.0,55.0,34.0,-1.0,0.0,MCO,FLL,178.0,6.0,14.0,0,,0,,,,,,NO,NO
2040,1988,1,25,1,951.0,950,1049.0,1050,PI,943,,58.0,60.0,,-1.0,1.0,LGA,SYR,198.0,,,0,,0,,,,,,NO,YES
15494,1994,1,3,1,2043.0,2030,2220.0,2139,US,265,,97.0,69.0,,41.0,13.0,BUF,EWR,282.0,,,0,,0,,,,,,YES,YES
33103,2003,1,23,4,1107.0,1010,1534.0,1449,UA,1068,N816UA,147.0,159.0,132.0,45.0,57.0,DEN,DTW,1123.0,5.0,10.0,0,,0,,,,,,YES,YES
43625,2008,1,3,4,627.0,630,753.0,800,WN,2902,N629SW,86.0,90.0,66.0,-7.0,-3.0,RNO,PDX,444.0,2.0,18.0,0,,0,,,,,,NO,NO
34999,2004,1,19,1,635.0,640,744.0,753,UA,485,N914UA,129.0,133.0,114.0,-9.0,-5.0,SAT,DEN,794.0,6.0,9.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
23698,1998,1,28,3,2031.0,2029,2219.0,2215,UA,2773,N917UA,108.0,106.0,86.0,4.0,2.0,DEN,PHX,602.0,3.0,19.0,0,,0,,,,,,YES,YES
8655,1991,1,23,3,958.0,945,1212.0,1222,US,125,,74.0,97.0,,-10.0,13.0,STL,PIT,553.0,,,0,,0,,,,,,NO,YES
13298,1993,1,29,5,1411.0,1415,1615.0,1636,US,97,,124.0,141.0,,-21.0,-4.0,PHL,JAX,742.0,,,0,,0,,,,,,NO,NO
19038,1996,1,7,7,1739.0,1719,1914.0,1858,HP,835,N173AW,95.0,99.0,80.0,16.0,20.0,COS,PHX,551.0,4.0,11.0,0,,0,,,,,,YES,YES
25002,1999,1,7,4,1506.0,1500,1619.0,1602,US,347,N912VJ,73.0,62.0,50.0,17.0,6.0,SYR,PHL,228.0,14.0,9.0,0,,0,,,,,,YES,YES
43550,2008,1,3,4,1711.0,1705,1954.0,2010,WN,1030,N439WN,163.0,185.0,145.0,-16.0,6.0,PVD,MCO,1073.0,8.0,10.0,0,,0,,,,,,NO,YES
38901,2006,1,11,3,1522.0,1520,1707.0,1700,US,171,N175UW,105.0,100.0,76.0,7.0,2.0,PHL,CLT,448.0,4.0,25.0,0,,0,0.0,0.0,0.0,0.0,0.0,YES,YES
40157,2007,1,1,1,814.0,815,938.0,955,WN,447,N715SW,144.0,160.0,128.0,-17.0,-1.0,TPA,MDW,997.0,5.0,11.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
18492,1996,1,5,5,713.0,714,937.0,932,HP,1404,N157AW,84.0,78.0,61.0,5.0,-1.0,BUR,PHX,369.0,4.0,19.0,0,,0,,,,,,YES,NO
28785,2001,1,11,4,1211.0,1215,1341.0,1325,US,408,N391äâ,90.0,70.0,57.0,16.0,-4.0,PHL,PIT,267.0,9.0,24.0,0,,0,,,,,,YES,NO
30389,2002,1,6,7,1147.0,1130,1347.0,1307,US,744,N356äâ,120.0,97.0,66.0,40.0,17.0,PIT,BOS,496.0,11.0,43.0,0,,0,,,,,,YES,YES
37688,2005,1,11,2,556.0,600,718.0,722,UA,596,N378UA,82.0,82.0,68.0,-4.0,-4.0,LAX,OAK,337.0,4.0,10.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
41153,2007,1,2,2,850.0,850,1006.0,1015,WN,690,N651SW,76.0,85.0,65.0,-9.0,0.0,HOU,MAF,441.0,3.0,8.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
23027,1998,1,27,2,1254.0,1250,1456.0,1453,DL,159,N952DL,242.0,243.0,224.0,3.0,4.0,CVG,PHX,1569.0,4.0,14.0,0,,0,,,,,,YES,YES
5247,1989,1,13,5,714.0,715,1041.0,1033,UA,220,,147.0,138.0,,8.0,-1.0,DEN,ORD,888.0,,,0,,0,,,,,,YES,NO
4849,1989,1,23,1,1844.0,1845,1935.0,1945,UA,206,,51.0,60.0,,-10.0,-1.0,IAH,MSY,305.0,,,0,,0,,,,,,NO,NO
40665,2007,1,2,2,739.0,735,829.0,840,WN,484,N777,110.0,125.0,97.0,-11.0,4.0,BWI,MDW,611.0,5.0,8.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,YES
12221,1993,1,28,4,1013.0,1005,1224.0,1215,US,71,,311.0,310.0,,9.0,8.0,PIT,LAX,2136.0,,,0,,0,,,,,,YES,YES
22854,1998,1,4,7,1900.0,1900,2118.0,2109,HP,2864,N624AW,258.0,249.0,245.0,9.0,0.0,CMH,PHX,1671.0,3.0,10.0,0,,0,,,,,,YES,NO
40713,2007,1,2,2,2201.0,2130,2259.0,2235,WN,1467,N448,58.0,65.0,47.0,24.0,31.0,BWI,RDU,255.0,2.0,9.0,0,,0,0.0,0.0,0.0,0.0,24.0,YES,YES
11006,1992,1,19,7,1241.0,1240,1413.0,1414,US,74,,92.0,94.0,,-1.0,1.0,CLE,BOS,563.0,,,0,,0,,,,,,NO,YES
11055,1992,1,16,4,615.0,615,724.0,728,US,75,,69.0,73.0,,-4.0,0.0,SMF,LAX,373.0,,,0,,0,,,,,,NO,NO
