Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,IsArrDelayed,IsDepDelayed
1987,10,16,5,752,745,858,834,PS,1546,,66,49,,24,7,BUR,LAS,223,,,0,,0,,,,,,YES,YES
2006,1,11,3,2026,2032,2238,2240,US,675,N806AW,132,128,115,-2,-6,PHX,BOI,735,5,12,0,,0,0,0,0,0,0,NO,NO
1988,1,29,5,950,930,1044,1025,PS,1451,,54,55,,19,20,SFO,RNO,192,,,0,,0,,,,,,YES,YES
1994,1,11,2,629,630,725,730,US,246,,56,60,,-5,-1,GSO,DCA,248,,,0,,0,,,,,,NO,NO
2006,1,11,3,1754,1755,1843,1846,US,1256,N404US,49,51,37,-3,-1,CLT,RDU,130,3,9,0,,0,0,0,0,0,0,NO,NO
1987,10,26,1,652,653,811,755,PS,1541,,79,62,,16,-1,BUR,SJC,296,,,0,,0,,,,,,YES,NO
1997,1,31,5,708,700,809,810,WN,1609,N309,61,70,52,-1,8,ABQ,PHX,328,2,7,0,,0,,,,,,NO,YES
1991,1,24,4,1659,1700,1755,1802,US,149,,56,62,,-7,-1,DCA,PIT,205,,,0,,0,,,,,,NO,NO
2008,1,3,4,2232,2115,108,5,WN,632,N203WN,96,110,77,63,77,LAS,DEN,629,6,13,0,,0,0,0,7,0,56,YES,YES
2007,1,2,2,804,805,1405,1400,WN,2614,N442,241,235,231,5,-1,LAX,MDW,1750,4,6,0,,0,0,0,0,0,0,YES,NO
1990,1,22,1,707,705,902,904,US,57,,115,119,,-2,2,PHL,IND,587,,,0,,0,,,,,,NO,YES
1989,1,13,5,829,830,1123,1138,UA,202,,114,128,,-15,-1,ORD,BOS,867,,,0,,0,,,,,,NO,NO
1997,1,9,4,642,645,830,831,HP,2572,N166AW,108,106,84,-1,-3,COS,PHX,551,6,18,0,,0,,,,,,NO,NO
2007,1,2,2,922,920,1348,1355,WN,663,N216,146,155,132,-7,2,LAS,SAT,1069,2,12,0,,0,0,0,0,0,0,NO,YES
2005,1,1,6,1351,1327,1500,1448,UA,574,N393UA,69,81,54,12,24,SLC,DEN,391,5,10,0,,0,0,0,0,0,0,YES,YES
1996,1,18,4,1203,1200,1350,1351,UA,419,N1817U,107,111,93,-1,3,DEN,PHX,602,3,11,0,,0,,,,,,NO,YES
1998,1,8,4,1049,0,1214,0,AA,419,N541AA,145,163,131,-17,1,DFW,PHX,868,4,10,0,,0,,,,,,NO,YES
1992,1,22,3,730,730,1021,1017,US,70,,111,107,,4,0,MSP,PIT,726,,,0,,0,,,,,,YES,NO
2001,1,10,3,724,730,841,848,US,393,N739äæ,77,78,57,-7,-6,DCA,CLT,331,4,16,0,,0,,,,,,NO,NO
1989,1,17,2,1045,1045,1349,1403,UA,228,,124,138,,-14,0,DEN,ORD,888,,,0,,0,,,,,,NO,NO
1992,1,17,5,1914,1910,2015,2010,US,58,,61,60,,5,4,DCA,GSO,248,,,0,,0,,,,,,YES,YES
2001,1,1,1,1756,1755,1956,2006,US,430,N882äâ,60,71,49,-10,1,BHM,CLT,351,3,8,0,,0,,,,,,NO,YES
1990,1,6,6,1329,1335,1449,1453,US,50,,80,78,,-4,-6,CLE,LGA,418,,,0,,0,,,,,,NO,NO
2005,1,9,7,2042,1922,2303,2153,UA,600,N921UA,81,91,66,70,80,DEN,TUL,541,3,12,0,,0,64,0,0,0,6,YES,YES
1997,1,24,5,1951,1955,2148,2135,HP,2636,N182AW,117,100,80,13,-4,COS,PHX,551,8,29,0,,0,,,,,,YES,NO
2006,1,12,4,1810,1820,1951,2003,US,1638,N819MD,101,103,78,-12,-10,ATL,DCA,547,5,18,0,,0,0,0,0,0,0,NO,NO
1990,1,18,4,1244,1245,1357,1355,US,55,,73,70,,2,-1,ABQ,TUS,321,,,0,,0,,,,,,YES,NO
1997,1,17,5,2223,2135,30,2340,WN,1389,N679,67,65,57,50,48,BUR,PHX,369,3,7,0,,0,,,,,,YES,YES
1997,1,13,1,1155,1120,1312,1230,WN,1866,N628,77,70,63,42,35,ABQ,PHX,328,4,10,0,,0,,,,,,YES,YES
2006,1,11,3,2348,2353,214,210,US,796,N804AW,146,137,124,4,-5,LAS,PDX,762,8,14,0,,0,0,0,0,0,0,YES,NO
2005,1,24,1,1711,1711,1844,1902,UA,579,N501UA,153,171,136,-18,0,DEN,SEA,1024,6,11,0,,0,0,0,0,0,0,NO,NO
1997,1,28,2,1010,1010,1230,1228,HP,2540,N167AW,80,78,62,2,0,BUR,PHX,369,5,13,0,,0,,,,,,YES,NO
1995,1,23,1,1420,1420,1755,1727,TW,98,EI-BWD,155,127,117,28,0,STL,PHL,813,5,33,0,,0,,,,,,YES,NO
2008,1,3,4,656,645,946,940,WN,616,N495WN,230,235,205,6,11,MDW,PHX,1444,5,20,0,,0,,,,,,YES,YES
1997,1,21,2,1228,1135,1442,1326,HP,2024,N187AW,134,111,100,76,53,DEN,PHX,602,5,29,0,,0,,,,,,YES,YES
1991,1,16,3,1019,1020,1223,1234,US,126,,124,134,,-11,-1,MCO,PIT,834,,,0,,0,,,,,,NO,NO
1997,1,26,7,2149,2135,2349,2341,DL,755,N634DL,240,246,229,8,14,ATL,PHX,1587,3,8,0,,0,,,,,,YES,YES
1994,1,5,3,721,700,921,920,US,267,,120,140,,1,21,BWI,MCO,787,,,0,,0,,,,,,YES,YES
1989,1,1,7,752,755,950,914,UA,229,,178,139,,36,-3,ORF,ORD,717,,,0,,0,,,,,,YES,NO
1992,1,14,2,1219,1220,1302,1257,US,93,,43,37,,5,-1,PHX,TUS,110,,,0,,0,,,,,,YES,NO
1990,1,21,7,1020,955,1237,1212,US,59,,137,137,,25,25,PIT,TPA,873,,,0,,0,,,,,,YES,YES
1991,1,28,1,1758,1800,1859,1859,US,136,,61,59,,0,-2,PIT,BWI,210,,,0,,0,,,,,,NO,NO
1988,1,11,1,1909,1855,2018,2005,PS,1424,,69,70,,13,14,OAK,LAX,337,,,0,,0,,,,,,YES,YES
2001,1,17,3,,1650,,1745,US,378,äNKNOæ,,55,,,,CLT,ILM,185,0,0,1,,0,,,,,,YES,YES
1990,1,29,1,1702,1630,1744,1723,US,29,,42,53,,21,32,CMH,IND,182,,,0,,0,,,,,,YES,YES
1987,10,20,2,1309,1310,1433,1423,PS,1494,,84,73,,10,-1,OAK,SNA,371,,,0,,0,,,,,,YES,NO
1999,1,14,4,1420,1353,1652,1620,US,1622,N702UW,152,147,133,32,27,TPA,PHL,920,7,12,0,,0,,,,,,YES,YES
1996,1,14,7,1210,1210,1353,1350,HP,1241,N189AW,103,100,80,3,0,COS,PHX,551,6,17,0,,0,,,,,,YES,NO
2007,1,2,2,805,805,907,915,WN,863,N434,62,70,51,-8,0,HOU,JAN,359,3,8,0,,0,0,0,0,0,0,NO,NO
1990,1,30,2,1117,1115,1630,1630,US,34,,193,195,,0,2,SFO,MCI,1499,,,0,,0,,,,,,NO,YES
1992,1,16,4,1240,1240,1404,1414,US,74,,84,94,,-10,0,CLE,BOS,563,,,0,,0,,,,,,NO,NO
1999,1,18,1,1009,1015,1613,1634,DL,1930,N283WA,244,259,217,-21,-6,SLC,PHL,1926,6,21,0,,0,,,,,,NO,NO
1997,1,14,2,1503,1425,1619,1535,WN,1221,N513,76,70,64,44,38,ABQ,PHX,328,4,8,0,,0,,,,,,YES,YES
1997,1,16,4,1858,1855,2113,2105,HP,2864,N632AW,255,250,235,8,3,CMH,PHX,1671,4,16,0,,0,,,,,,YES,YES
1999,1,6,3,809,810,921,920,US,1268,N776AU,72,70,53,1,-1,ROC,PHL,257,3,16,0,,0,,,,,,YES,NO
1988,1,11,1,947,937,1045,1040,PS,1442,,58,63,,5,10,OAK,BUR,325,,,0,,0,,,,,,YES,YES
1987,10,26,1,952,953,1107,1106,PS,1490,,75,73,,1,-1,OAK,SNA,371,,,0,,0,,,,,,YES,NO
2002,1,9,3,2027,2032,2128,2131,US,750,N528Aä,61,59,44,-3,-5,DCA,PIT,205,7,10,0,,0,,,,,,NO,NO
1989,1,4,3,1500,1500,1630,1629,UA,233,,150,149,,1,0,ORD,DEN,888,,,0,,0,,,,,,YES,NO
1994,1,30,7,2030,2030,2208,2153,US,231,,98,83,,15,0,PHL,GSO,365,,,0,,0,,,,,,YES,NO
1995,1,13,5,1017,950,1313,1243,UA,1876,N9027U,116,113,101,30,27,ORD,PHL,678,5,10,0,,0,,,,,,YES,YES
1992,1,31,5,1650,1645,1806,1745,US,76,,76,60,,21,5,PIT,ABE,253,,,0,,0,,,,,,YES,YES
1998,1,7,3,1821,1825,2010,2013,HP,2249,N180AW,109,108,90,-3,-4,DEN,PHX,602,5,14,0,,0,,,,,,NO,NO
1998,1,27,2,2219,2130,4,2314,UA,2775,N382UA,105,104,90,50,49,DEN,PHX,602,3,12,0,,0,,,,,,YES,YES
2001,1,21,7,1637,1520,1812,1659,US,437,N828äâ,95,99,75,73,77,PHL,CLT,448,8,12,0,,0,,,,,,YES,YES
1996,1,13,6,1715,1712,1853,1857,UA,439,N7294U,98,105,84,-4,3,DEN,PHX,602,3,11,0,,0,,,,,,NO,YES
1998,1,4,7,1006,1010,1221,1228,HP,2540,N323AW,75,78,62,-7,-4,BUR,PHX,369,7,6,0,,0,,,,,,NO,NO
1991,1,2,3,2027,2030,2122,2126,US,147,,55,56,,-4,-3,PIT,DAY,215,,,0,,0,,,,,,NO,NO
1999,1,6,3,,1025,,1335,TW,712,UNKNOW,,130,,,,STL,PHL,813,0,0,1,,0,,,,,,YES,YES
1987,10,16,5,858,842,1040,1030,PS,1517,,102,108,,10,16,SFO,GEG,733,,,0,,0,,,,,,YES,YES
1994,1,3,1,1100,1100,1214,1215,US,280,,74,75,,-1,0,BUF,BOS,396,,,0,,0,,,,,,NO,NO
1998,1,11,7,1948,1514,2203,1730,HP,2402,N313AW,75,76,58,273,274,BUR,PHX,369,6,11,0,,0,,,,,,YES,YES
1990,1,14,7,949,945,1149,1149,US,55,,240,244,,0,4,PIT,ABQ,1486,,,0,,0,,,,,,NO,YES
1991,1,18,5,1707,1705,1822,1828,US,140,,75,83,,-6,2,BWI,BOS,370,,,0,,0,,,,,,NO,YES
2005,1,18,2,1805,1810,2044,2005,UA,545,N301UA,219,175,195,39,-5,BOS,ORD,867,5,19,0,,0,0,0,39,0,0,YES,NO
2000,1,25,2,903,903,1105,1054,HP,2621,N168AW,122,111,92,11,0,COS,PHX,551,4,26,0,,0,,,,,,YES,NO
1995,1,13,5,1908,1840,2132,2115,US,2298,N825US,144,155,132,17,28,RSW,PHL,992,4,8,0,,0,,,,,,YES,YES
2001,1,3,3,539,545,705,719,US,423,N733äæ,86,94,68,-14,-6,PHL,CLT,448,4,14,0,,0,,,,,,NO,NO
1991,1,29,2,1943,1945,2114,2108,US,137,,91,83,,6,-2,PWM,PHL,365,,,0,,0,,,,,,YES,NO
1988,1,19,2,1556,1550,1655,1657,PS,1453,,59,67,,-2,6,BUR,OAK,325,,,0,,0,,,,,,NO,YES
1993,1,6,3,1700,1700,1815,1812,US,115,,75,72,,3,0,BUF,LGA,292,,,0,,0,,,,,,YES,NO
1996,1,29,1,917,855,1214,1127,CO,1611,N14383,297,272,279,47,22,CLE,PHX,1737,6,12,0,,0,,,,,,YES,YES
1992,1,8,3,,1910,,2010,US,58,,,60,,,,DCA,GSO,248,,,1,,0,,,,,,YES,YES
2002,1,14,1,1758,1800,2059,2107,US,773,N704äæ,241,247,206,-8,-2,PHL,DFW,1302,7,28,0,,0,,,,,,NO,NO
2006,1,11,3,851,850,1159,1127,US,63,N409US,188,157,157,32,1,DCA,FLL,899,2,29,0,,0,0,0,32,0,0,YES,YES
1989,1,5,4,1221,1210,1632,1627,UA,201,,431,437,,5,11,DEN,HNL,3365,,,0,,0,,,,,,YES,YES
2006,1,11,3,2245,2251,2258,2312,US,38,N915AW,73,81,54,-14,-6,PHX,LAX,370,9,10,0,,0,0,0,0,0,0,NO,NO
2003,1,24,5,1932,1935,2204,2212,UA,1069,N456UA,212,217,198,-8,-3,ORD,BOI,1437,2,12,0,,0,,,,,,NO,NO
2003,1,26,7,1800,1745,2041,2000,UA,1052,N831UA,161,135,121,41,15,DFW,ORD,802,18,22,0,,0,,,,,,YES,YES
1988,1,4,1,842,830,944,935,PS,1435,,62,65,,9,12,LAX,SJC,308,,,0,,0,,,,,,YES,YES
2007,1,2,2,2026,1950,2143,2115,WN,1758,N303SW,77,85,68,28,36,HOU,MAF,441,3,6,0,,0,19,0,0,0,9,YES,YES
2004,1,20,2,1612,1620,1716,1725,UA,501,N308UA,124,125,96,-9,-8,ATL,ORD,606,11,17,0,,0,0,0,0,0,0,NO,NO
2001,1,26,5,630,635,851,858,US,411,N392äâ,141,143,108,-7,-5,LGA,IND,659,7,26,0,,0,,,,,,NO,NO
2001,1,24,3,1425,1430,1621,1611,US,395,N746äæ,116,101,80,10,-5,MHT,PIT,485,24,12,0,,0,,,,,,YES,NO
1997,1,7,2,1510,1511,1725,1729,HP,2544,N322AW,75,78,61,-4,-1,BUR,PHX,369,5,9,0,,0,,,,,,NO,NO
1999,1,19,2,1154,1158,1320,1314,HP,2634,N182AW,86,76,73,6,-4,ABQ,PHX,328,4,9,0,,0,,,,,,YES,NO
1991,1,5,6,,945,,1222,US,125,,,97,,,,STL,PIT,553,,,1,,0,,,,,,YES,YES
2002,1,17,4,912,915,1042,1049,US,749,N591äâ,90,94,75,-7,-3,CLT,CLE,430,5,10,0,,0,,,,,,NO,NO
1993,1,29,5,708,700,921,755,US,69,,133,55,,86,8,DTW,PIT,201,,,0,,0,,,,,,YES,YES
2001,1,22,1,728,730,841,848,US,393,N768äæ,73,78,54,-7,-2,DCA,CLT,331,4,15,0,,0,,,,,,NO,NO
2007,1,2,2,911,915,1007,1015,WN,1309,N508,56,60,48,-8,-4,LBB,DAL,293,2,6,0,,0,0,0,0,0,0,NO,NO
2000,1,10,1,1404,1404,1620,1615,HP,2847,N803AW,256,251,244,5,0,CMH,PHX,1671,4,8,0,,0,,,,,,YES,NO
2003,1,2,4,1004,1006,1230,1230,UA,1078,N377UA,86,84,72,0,-2,DEN,OMA,472,2,12,0,,0,,,,,,NO,NO
1996,1,23,2,1837,1840,2025,2025,HP,1249,N169AW,108,105,94,0,-3,DEN,PHX,602,4,10,0,,0,,,,,,NO,NO
2004,1,26,1,837,814,1003,930,UA,510,N338UA,86,76,61,33,23,ABQ,DEN,349,7,18,0,,0,23,0,10,0,0,YES,YES
1988,1,3,7,718,720,753,800,PS,1435,,35,40,,-7,-2,SAN,LAX,109,,,0,,0,,,,,,NO,NO
1988,1,18,1,635,635,826,758,PS,1471,,111,83,,28,0,SAN,OAK,446,,,0,,0,,,,,,YES,NO
1987,10,20,2,2114,2115,2222,2223,PS,1505,,68,68,,-1,-1,SNA,SJC,342,,,0,,0,,,,,,NO,NO
